frame,mode,similarity,match_045,match_060,elapsed_s,fps,frame_saved
252,ATAQUE,0.000000,0,0,14.03,20.6,0
253,ATAQUE,0.000000,0,0,14.08,20.6,0
254,ATAQUE,0.000000,0,0,14.14,20.6,0
255,ATAQUE,0.000000,0,0,14.16,20.6,1
256,ATAQUE,0.000000,0,0,14.22,20.6,0
257,ATAQUE,0.000000,0,0,14.27,20.6,0
258,ATAQUE,0.000000,0,0,14.32,20.6,0
259,ATAQUE,0.000000,0,0,14.37,20.6,0
260,ATAQUE,0.000000,0,0,14.42,20.0,1
261,ATAQUE,0.000000,0,0,14.48,20.0,0
262,ATAQUE,0.000000,0,0,14.53,20.0,0
263,ATAQUE,0.000000,0,0,14.55,20.0,0
264,ATAQUE,0.000000,0,0,14.61,20.0,0
265,ATAQUE,0.000000,0,0,14.66,20.0,1
266,ATAQUE,0.000000,0,0,14.69,20.0,0
267,ATAQUE,0.000000,0,0,14.74,20.0,0
268,ATAQUE,0.000000,0,0,14.80,20.0,0
269,ATAQUE,0.000000,0,0,14.85,20.0,0
270,ATAQUE,0.000000,0,0,14.91,20.6,1
271,ATAQUE,0.000000,0,0,14.96,20.6,0
272,ATAQUE,0.000000,0,0,15.02,20.6,0
273,ATAQUE,0.000000,0,0,15.07,20.6,0
274,ATAQUE,0.000000,0,0,15.12,20.6,0
275,ATAQUE,0.000000,0,0,15.17,20.6,1
276,ATAQUE,0.000000,0,0,15.22,20.6,0
277,ATAQUE,0.000000,0,0,15.27,20.6,0
278,ATAQUE,0.000000,0,0,15.32,20.6,0
279,ATAQUE,0.000000,0,0,15.37,20.6,0
280,ATAQUE,0.000000,0,0,15.43,19.4,1
281,ATAQUE,0.000000,0,0,15.48,19.4,0
282,ATAQUE,0.000000,0,0,15.53,19.4,0
283,ATAQUE,0.000000,0,0,15.55,19.4,0
284,ATAQUE,0.000000,0,0,15.60,19.4,0
285,ATAQUE,0.000000,0,0,15.63,19.4,1
286,ATAQUE,0.000000,0,0,15.69,19.4,0
287,ATAQUE,0.000000,0,0,15.74,19.4,0
288,ATAQUE,0.000000,0,0,15.80,19.4,0
289,ATAQUE,0.000000,0,0,15.85,19.4,0
290,ATAQUE,0.000000,0,0,15.90,21.1,1
291,ATAQUE,0.000000,0,0,15.92,21.1,0
292,ATAQUE,0.000000,0,0,15.98,21.1,0
293,ATAQUE,0.000000,0,0,16.03,21.1,0
294,ATAQUE,0.000000,0,0,16.06,21.1,0
295,ATAQUE,0.000000,0,0,16.12,21.1,1
296,ATAQUE,0.000000,0,0,16.17,21.1,0
297,ATAQUE,0.000000,0,0,16.23,21.1,0
298,ATAQUE,0.000000,0,0,16.25,21.1,0
299,ATAQUE,0.000000,0,0,16.31,21.1,0
300,ATAQUE,0.000000,0,0,16.36,21.5,1
301,ATAQUE,0.000000,0,0,16.39,21.5,0
302,ATAQUE,0.000000,0,0,16.44,21.5,0
303,ATAQUE,0.000000,0,0,16.50,21.5,0
304,ATAQUE,0.000000,0,0,16.52,21.5,0
305,ATAQUE,0.000000,0,0,16.58,21.5,1
306,ATAQUE,0.000000,0,0,16.64,21.5,0
307,ATAQUE,0.000000,0,0,16.66,21.5,0
308,ATAQUE,0.000000,0,0,16.72,21.5,0
309,ATAQUE,0.000000,0,0,16.77,21.5,0
310,ATAQUE,0.000000,0,0,16.80,22.9,1
311,ATAQUE,0.000000,0,0,16.85,22.9,0
312,ATAQUE,0.000000,0,0,16.91,22.9,0
313,ATAQUE,0.000000,0,0,16.96,22.9,0
314,ATAQUE,0.000000,0,0,17.02,22.9,0
315,ATAQUE,0.000000,0,0,17.07,22.9,1
316,ATAQUE,0.000000,0,0,17.13,22.9,0
317,ATAQUE,0.000000,0,0,17.18,22.9,0
318,ATAQUE,0.000000,0,0,17.23,22.9,0
319,ATAQUE,0.000000,0,0,17.28,22.9,0
320,ATAQUE,0.000000,0,0,17.34,18.5,1
321,ATAQUE,0.000000,0,0,17.39,18.5,0
322,ATAQUE,0.000000,0,0,17.45,18.5,0
323,ATAQUE,0.000000,0,0,17.50,18.5,0
324,ATAQUE,0.000000,0,0,17.56,18.5,0
325,ATAQUE,0.000000,0,0,17.62,18.5,1
326,ATAQUE,0.000000,0,0,17.67,18.5,0
327,ATAQUE,0.000000,0,0,17.73,18.5,0
328,ATAQUE,0.000000,0,0,17.79,18.5,0
329,ATAQUE,0.000000,0,0,17.84,18.5,0
330,ATAQUE,0.000000,0,0,17.90,17.9,1
331,ATAQUE,0.000000,0,0,17.95,17.9,0
332,ATAQUE,0.000000,0,0,18.00,17.9,0
333,ATAQUE,0.000000,0,0,18.06,17.9,0
334,ATAQUE,0.000000,0,0,18.11,17.9,0
335,ATAQUE,0.000000,0,0,18.16,17.9,1
336,ATAQUE,0.000000,0,0,18.22,17.9,0
337,ATAQUE,0.000000,0,0,18.28,17.9,0
338,ATAQUE,0.000000,0,0,18.33,17.9,0
339,ATAQUE,0.000000,0,0,18.38,17.9,0
340,ATAQUE,0.000000,0,0,18.43,18.7,1
341,ATAQUE,0.000000,0,0,18.49,18.7,0
342,ATAQUE,0.000000,0,0,18.54,18.7,0
343,ATAQUE,0.000000,0,0,18.60,18.7,0
344,ATAQUE,0.000000,0,0,18.65,18.7,0
345,ATAQUE,0.000000,0,0,18.71,18.7,1
346,ATAQUE,0.000000,0,0,18.76,18.7,0
347,ATAQUE,0.000000,0,0,18.82,18.7,0
348,ATAQUE,0.000000,0,0,18.87,18.7,0
349,ATAQUE,0.000000,0,0,18.92,18.7,0
350,ATAQUE,0.000000,0,0,18.98,18.4,1
351,ATAQUE,0.000000,0,0,19.03,18.4,0
352,ATAQUE,0.000000,0,0,19.09,18.4,0
353,ATAQUE,0.000000,0,0,19.14,18.4,0
354,ATAQUE,0.000000,0,0,19.19,18.4,0
355,ATAQUE,0.000000,0,0,19.25,18.4,1
356,ATAQUE,0.000000,0,0,19.30,18.4,0
357,ATAQUE,0.000000,0,0,19.36,18.4,0
358,ATAQUE,0.000000,0,0,19.41,18.4,0
359,ATAQUE,0.000000,0,0,19.47,18.4,0
360,ATAQUE,0.000000,0,0,19.49,19.5,1
361,ATAQUE,0.000000,0,0,19.55,19.5,0
362,ATAQUE,0.000000,0,0,19.60,19.5,0
363,ATAQUE,0.000000,0,0,19.65,19.5,0
364,ATAQUE,0.000000,0,0,19.71,19.5,0
365,ATAQUE,0.000000,0,0,19.76,19.5,1
366,ATAQUE,0.000000,0,0,19.81,19.5,0
367,ATAQUE,0.000000,0,0,19.86,19.5,0
368,ATAQUE,0.000000,0,0,19.91,19.5,0
369,ATAQUE,0.000000,0,0,19.96,19.5,0
370,ATAQUE,0.000000,0,0,20.03,18.6,1
371,ATAQUE,0.000000,0,0,20.08,18.6,0
372,ATAQUE,0.000000,0,0,20.15,18.6,0
373,ATAQUE,0.000000,0,0,20.22,18.6,0
374,ATAQUE,0.000000,0,0,20.29,18.6,0
375,ATAQUE,0.000000,0,0,20.36,18.6,1
376,ATAQUE,0.000000,0,0,20.42,18.6,0
377,ATAQUE,0.000000,0,0,20.49,18.6,0
378,ATAQUE,0.000000,0,0,20.56,18.6,0
379,ATAQUE,0.000000,0,0,20.64,18.6,0
380,ATAQUE,0.000000,0,0,20.71,14.6,1
381,ATAQUE,0.000000,0,0,20.78,14.6,0
382,ATAQUE,0.000000,0,0,20.85,14.6,0
383,ATAQUE,0.000000,0,0,20.90,14.6,0
384,ATAQUE,0.000000,0,0,20.93,14.6,0
385,ATAQUE,0.000000,0,0,20.98,14.6,1
386,ATAQUE,0.000000,0,0,21.04,14.6,0
387,ATAQUE,0.000000,0,0,21.09,14.6,0
388,ATAQUE,0.000000,0,0,21.14,14.6,0
389,ATAQUE,0.000000,0,0,21.16,14.6,0
390,ATAQUE,0.000000,0,0,21.22,19.8,1
391,ATAQUE,0.000000,0,0,21.27,19.8,0
392,ATAQUE,0.000000,0,0,21.32,19.8,0
393,ATAQUE,0.000000,0,0,21.37,19.8,0
394,ATAQUE,0.000000,0,0,21.43,19.8,0
395,ATAQUE,0.000000,0,0,21.48,19.8,1
396,ATAQUE,0.000000,0,0,21.53,19.8,0
397,ATAQUE,0.000000,0,0,21.58,19.8,0
398,ATAQUE,0.000000,0,0,21.64,19.8,0
399,ATAQUE,0.000000,0,0,21.70,19.8,0
400,ATAQUE,0.000000,0,0,21.75,18.7,1
401,ATAQUE,0.000000,0,0,21.81,18.7,0
402,ATAQUE,0.000000,0,0,21.86,18.7,0
403,ATAQUE,0.000000,0,0,21.91,18.7,0
404,ATAQUE,0.000000,0,0,21.96,18.7,0
405,ATAQUE,0.000000,0,0,22.02,18.7,1
406,ATAQUE,0.000000,0,0,22.07,18.7,0
407,ATAQUE,0.000000,0,0,22.13,18.7,0
408,ATAQUE,0.000000,0,0,22.19,18.7,0
409,ATAQUE,0.000000,0,0,22.24,18.7,0
410,ATAQUE,0.000000,0,0,22.30,18.4,1
411,ATAQUE,0.000000,0,0,22.35,18.4,0
412,ATAQUE,0.000000,0,0,22.40,18.4,0
413,ATAQUE,0.000000,0,0,22.46,18.4,0
414,ATAQUE,0.000000,0,0,22.51,18.4,0
415,ATAQUE,0.000000,0,0,22.56,18.4,1
416,ATAQUE,0.000000,0,0,22.61,18.4,0
417,ATAQUE,0.000000,0,0,22.66,18.4,0
418,ATAQUE,0.000000,0,0,22.72,18.4,0
419,ATAQUE,0.000000,0,0,22.77,18.4,0
420,ATAQUE,0.000000,0,0,22.83,18.9,1
421,ATAQUE,0.000000,0,0,22.88,18.9,0
422,ATAQUE,0.000000,0,0,22.93,18.9,0
423,ATAQUE,0.000000,0,0,22.98,18.9,0
424,ATAQUE,0.000000,0,0,23.04,18.9,0
425,ATAQUE,0.000000,0,0,23.09,18.9,1
426,ATAQUE,0.000000,0,0,23.17,18.9,0
427,ATAQUE,0.000000,0,0,23.22,18.9,0
428,ATAQUE,0.000000,0,0,23.30,18.9,0
429,ATAQUE,0.000000,0,0,23.37,18.9,0
430,ATAQUE,0.000000,0,0,23.44,16.2,1
431,ATAQUE,0.000000,0,0,23.51,16.2,0
432,ATAQUE,0.000000,0,0,23.57,16.2,0
433,ATAQUE,0.000000,0,0,23.62,16.2,0
434,ATAQUE,0.000000,0,0,23.67,16.2,0
435,ATAQUE,0.000000,0,0,23.73,16.2,1
